match,prediction,odds,result,status,scraped_at,date,hash
Huesca – Sociedad B,1,1.86,,LOST,2026-05-12T01:02:01.017801,2026-05-12,5c2bcd7639719794a304fdd2b9559b6f
Tottenham – Leeds,1,1.80,,LOST,2026-05-12T01:02:01.017875,2026-05-12,583ddc812becdd14503a61a12c2abd67
Guimaraes – Casa Pia,1,1.66,,LOST,2026-05-12T01:02:01.017895,2026-05-12,780b278d3afe7bda063175f194150718
Napoli – Bologna,1,1.53,,LOST,2026-05-12T01:02:01.017909,2026-05-12,8acf30fef93e4fe14f75a53efc0f91fb
Benfica – Braga,1,1.39,,LOST,2026-05-12T01:02:01.017923,2026-05-12,b0bafdb00a53afa4fc33a8f4e3653638
Cremonese – Pisa,1,1.70,,WON,2026-05-12T01:02:01.017936,2026-05-12,9ffab5468ebf9d9f3e1254b41938b97b
Barcelona – Real Madrid,1,1.61,,WON,2026-05-12T01:02:01.017949,2026-05-12,29649b08db68ec4aafff794ca6df5ade
West Ham – Arsenal,2,1.55,,WON,2026-05-12T01:02:01.017961,2026-05-12,4aa706617b41ec9678c303d6ad6b6c3d
Rennes – Paris FC,1,1.55,,WON,2026-05-12T01:02:01.017974,2026-05-12,9dabdc743e114e09644dd953500a1231
Parma – Roma,2,1.50,,WON,2026-05-12T01:02:01.017986,2026-05-12,64247c065dd5f8a677a4051fbc336530
Man City – Brentford,1,1.33,,WON,2026-05-12T01:02:01.017998,2026-05-12,0d51ce567bab991a9f89d9226982276a
Brighton – Wolves,1,1.25,,WON,2026-05-12T01:02:01.018016,2026-05-12,5cd0d7dae6bc47aa2627166579399d19
